Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
greedy,1,top_left,43.0,0.9192509651184082,212.4213562373094,7.0,10.0,13.0,18.0,21.0,22.0,28.0,43.0,58.0
greedy,1,top_right,109.0,1.547950029373169,289.3036072312178,6.0,14.0,21.0,35.0,39.0,46.0,52.0,58.0,77.0
greedy,1,bottom_left,71.0,1.0887629985809326,217.32085117392103,9.0,14.0,18.0,28.0,35.0,38.0,42.0,54.0,60.0
greedy,1,bottom_right,54.0,1.1517748832702637,242.3624817342636,6.0,8.0,12.0,16.0,20.0,24.0,27.0,43.0,65.0
greedy,2,top_left,42.0,1.9490270614624023,269.4041122946062,6.0,14.0,16.0,23.0,26.0,47.0,53.0,63.0,71.0
greedy,2,top_right,47.0,1.4143939018249512,274.81832585697924,12.0,15.0,20.0,25.0,28.0,32.0,39.0,54.0,75.0
greedy,2,bottom_left,88.0,1.3950440883636475,262.1198410471443,8.0,13.0,19.0,33.0,37.0,42.0,54.0,64.0,73.0
greedy,2,bottom_right,31.0,0.928969144821167,189.76450198781703,8.0,12.0,13.0,15.0,17.0,21.0,36.0,45.0,52.0
greedy,3,top_left,37.0,1.27827787399292,243.7056274847712,6.0,9.0,11.0,16.0,17.0,21.0,26.0,41.0,66.0
greedy,3,top_right,40.0,1.4151349067687988,208.93607486307081,7.0,10.0,13.0,18.0,28.0,33.0,43.0,48.0,59.0
greedy,3,bottom_left,85.0,1.5997741222381592,286.6761902332483,7.0,12.0,17.0,24.0,38.0,54.0,58.0,67.0,80.0
greedy,3,bottom_right,55.0,1.0314640998840332,255.11984104714432,6.0,10.0,11.0,13.0,17.0,20.0,23.0,56.0,70.0
greedy,4,top_left,64.0,1.4954211711883545,270.1198410471443,10.0,13.0,15.0,18.0,21.0,25.0,34.0,54.0,77.0
greedy,4,top_right,33.0,3.5677709579467773,248.07821048680174,10.0,13.0,25.0,34.0,40.0,45.0,57.0,63.0,70.0
greedy,4,bottom_left,74.0,2.1282060146331787,263.8183258569793,10.0,14.0,18.0,19.0,21.0,24.0,49.0,58.0,71.0
greedy,4,bottom_right,82.0,1.7006089687347412,343.4873734152913,8.0,10.0,13.0,15.0,17.0,20.0,27.0,56.0,93.0
greedy,5,top_left,64.0,1.2864429950714111,336.9188309203676,9.0,13.0,16.0,20.0,28.0,35.0,38.0,58.0,97.0
greedy,5,top_right,7.0,2.211941957473755,392.830519165799,9.0,15.0,22.0,24.0,26.0,34.0,57.0,75.0,110.0
greedy,5,bottom_left,61.0,1.3789010047912598,316.67619023324835,7.0,11.0,14.0,20.0,34.0,43.0,54.0,59.0,89.0
greedy,5,bottom_right,54.0,1.3006181716918945,320.64675298172546,6.0,10.0,13.0,15.0,19.0,21.0,46.0,60.0,88.0
greedy,6,top_left,68.0,1.2975609302520752,288.8599564173218,10.0,14.0,21.0,25.0,36.0,39.0,46.0,50.0,76.0
greedy,6,top_right,90.0,1.5392379760742188,291.9188309203676,8.0,21.0,32.0,35.0,37.0,42.0,53.0,63.0,81.0
greedy,6,bottom_left,82.0,1.7971930503845215,309.4751801064716,10.0,13.0,16.0,24.0,28.0,38.0,47.0,67.0,85.0
greedy,6,bottom_right,21.0,1.3022818565368652,293.8183258569793,9.0,11.0,14.0,15.0,17.0,18.0,24.0,40.0,80.0
